Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,Lead Quality,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,A free copy of Mastering The Interview,Last Notable Activity
0,6,0,0,0,0,0,0,10,12,15,6,4,0,0,0,0,0,0,0,8,1,4,4,1,1,15,15,0,8
0,7,0,0,0,5,674,2.5,5,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,15,15,0,4
1,1,0,0,1,2,1532,2,5,12,1,6,3,0,0,0,0,0,0,0,19,2,3,0,1,0,14,20,1,4
1,1,0,0,0,1,305,1,13,12,11,9,4,0,0,0,0,0,0,0,14,3,4,0,1,0,13,17,0,8
1,3,0,0,1,2,1428,1,1,12,15,4,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15,18,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
1,3,0,0,1,2,1640,2,5,12,17,3,4,0,0,0,0,0,0,0,19,1,3,0,1,0,14,20,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,15,15,0,8
1,1,0,0,0,2,71,2,5,12,8,6,4,0,0,0,0,0,0,0,19,2,4,5,1,1,14,14,1,4
0,3,0,0,0,4,58,4,5,12,4,9,4,0,0,0,0,0,0,0,19,2,4,0,1,1,13,16,0,4
1,7,0,0,1,8,1351,8,5,12,18,6,4,0,0,0,0,0,0,0,19,2,4,3,1,1,15,14,1,4
1,1,0,0,1,8,1343,2.67,10,12,7,6,4,0,0,0,0,0,0,0,10,2,4,5,1,0,14,17,1,10
0,7,0,0,1,11,1538,11,5,12,10,6,4,0,0,0,0,0,0,0,19,2,3,4,0,1,16,16,0,8
1,7,0,0,0,5,170,5,5,12,1,6,4,0,0,0,0,0,0,0,14,2,4,5,1,0,14,17,1,4
1,1,1,0,0,1,481,1,2,24,1,6,4,0,0,0,0,0,0,0,19,2,4,4,0,0,16,17,0,1
