Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,Lead Quality,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,A free copy of Mastering The Interview,Last Notable Activity,Lead_Score (%)
1.0,1,0,0,2.0,1532,2.0,5,12,1,6,3,0,0,0,0,0,0,0,19,2,3,0,1,0,14.0,20.0,1,4,99.9553
1.0,3,0,0,2.0,1428,1.0,1,12,15,4,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15.0,18.0,0,8,97.65862
1.0,3,0,0,2.0,1640,2.0,5,12,17,3,4,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,20.0,0,8,99.914215
1.0,7,0,0,8.0,1351,8.0,5,12,18,6,4,0,0,0,0,0,0,0,19,2,4,3,1,1,15.0,14.0,1,4,99.884605
1.0,1,0,0,8.0,1343,2.67,10,12,7,6,4,0,0,0,0,0,0,0,10,2,4,5,1,0,14.0,17.0,1,10,99.98612
0.0,7,0,0,11.0,1538,11.0,5,12,10,6,4,0,0,0,0,0,0,0,19,2,3,4,0,1,16.0,16.0,0,8,99.97819
0.0,7,0,0,6.0,1012,6.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,4,99.79604
1.0,3,0,0,6.0,1688,3.0,10,12,10,2,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15.0,18.0,0,10,99.73941
1.0,3,0,0,1.0,1013,1.0,1,12,0,0,4,0,0,0,0,0,0,0,19,1,3,0,1,0,15.0,20.0,0,8,99.97933
0.0,3,0,0,6.0,1137,1.5,5,12,10,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,14.0,18.0,1,4,99.998405
1.0,3,0,0,3.0,1068,3.0,7,12,18,4,4,0,0,0,0,0,0,0,1,3,4,0,1,1,14.0,16.0,0,8,99.69602
1.0,7,0,0,4.0,1000,2.0,5,12,4,6,4,0,0,0,0,0,0,0,19,1,3,1,2,0,11.0,18.0,1,4,99.730576
1.0,3,0,0,6.0,1315,6.0,5,12,11,3,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15.0,19.0,0,4,99.988304
0.0,3,0,0,3.0,78,3.0,13,12,9,6,4,0,0,0,0,0,0,0,19,0,3,0,0,0,16.0,18.0,0,13,99.94181
1.0,1,0,0,7.0,1174,3.5,5,12,7,6,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15.0,18.0,1,4,99.12178
1.0,7,0,0,4.0,16,2.0,10,12,3,6,4,0,0,0,0,0,0,0,19,2,3,0,1,0,15.0,17.0,1,8,99.301575
0.0,11,0,0,3.0,98,3.0,5,12,7,6,4,0,0,0,0,0,0,0,19,0,3,5,1,1,14.0,15.0,0,8,99.799805
1.0,3,0,0,5.0,563,5.0,5,12,4,8,5,0,0,0,0,0,0,0,19,1,3,0,1,0,13.0,20.0,0,4,99.95181
1.0,3,0,0,4.0,25,4.0,5,12,12,1,4,0,0,0,0,0,0,0,19,0,3,2,1,0,14.0,19.0,0,4,99.86781
0.0,6,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,19,1,3,5,1,1,15.0,16.0,0,8,99.80396
1.0,11,0,0,13.0,436,13.0,7,12,8,3,4,0,0,0,0,0,0,0,1,1,3,3,1,1,15.0,13.0,0,8,99.49644
0.0,11,0,0,8.0,903,8.0,10,12,4,6,4,0,0,0,0,0,0,0,19,0,3,2,0,1,16.0,15.0,0,10,99.99843
0.0,7,0,0,7.0,1468,3.5,10,12,10,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15.0,18.0,0,8,99.947685
1.0,1,0,0,4.0,1435,4.0,5,12,12,6,5,0,0,0,0,0,0,0,19,2,3,1,2,0,12.0,18.0,1,4,99.1716
1.0,3,0,0,1.0,157,1.0,1,12,6,9,4,0,0,0,0,0,0,0,19,2,4,2,1,1,15.0,14.0,0,8,83.91383
0.0,3,0,0,3.0,885,1.5,8,12,12,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15.0,18.0,0,7,99.9969
0.0,6,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,19,1,3,2,1,1,15.0,16.0,0,8,99.964485
1.0,1,0,0,2.0,1071,2.0,5,12,10,6,4,0,0,0,0,0,0,0,10,3,4,2,2,0,12.0,17.0,1,4,99.820366
,3,0,0,6.0,595,3.0,5,12,0,9,5,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,20.0,0,4,99.93078
2.0,14,0,0,3.4452378336812,1096,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,8,99.97019
2.0,10,0,0,3.4452378336812,705,2.36281994946721,5,12,6,6,5,0,0,0,0,0,0,0,19,1,3,5,1,1,14.0,16.0,0,8,99.9816
2.0,14,0,0,3.4452378336812,346,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,8,97.63719
0.0,6,0,0,0.0,0,0.0,3,12,12,6,5,0,0,0,0,0,0,0,19,2,3,4,1,1,15.0,16.0,0,2,99.51824
1.0,3,0,0,3.0,1136,3.0,10,12,8,4,4,0,0,0,0,0,0,0,19,2,4,0,0,1,16.0,15.0,0,8,98.8781
2.0,10,0,0,3.4452378336812,1007,2.36281994946721,5,12,7,6,4,0,0,0,0,0,0,0,2,0,1,0,1,0,14.0,20.0,0,8,99.93645
0.0,6,0,0,6.0,1158,1.5,5,12,1,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,15.0,14.0,1,4,98.78328
0.0,3,0,0,5.0,1110,5.0,9,12,7,6,5,0,0,0,0,0,0,0,19,2,3,4,0,1,16.0,16.0,0,8,99.997665
1.0,1,0,0,5.0,1563,5.0,5,12,4,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15.0,20.0,1,4,99.99786
0.0,6,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,97.27404
0.0,3,0,0,5.0,1196,5.0,10,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,99.20902
0.0,3,0,0,3.0,165,3.0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,99.41866
1.0,7,0,0,6.0,895,6.0,5,12,12,6,4,0,0,0,0,0,0,0,19,2,0,2,1,0,14.0,18.0,1,4,99.87325
2.0,10,0,0,0.0,0,0.0,3,12,1,6,5,0,0,0,0,0,0,0,2,0,3,4,1,0,14.0,19.0,0,2,99.991
0.0,3,0,0,5.0,727,5.0,5,12,15,6,4,0,0,0,0,0,0,0,19,0,0,5,1,1,14.0,15.0,0,4,99.86157
2.0,10,0,0,3.4452378336812,1111,2.36281994946721,5,12,10,6,5,0,0,0,0,0,0,0,2,1,3,1,1,0,14.0,18.0,0,8,99.998344
0.0,7,0,0,3.0,1207,1.5,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16.0,15.0,0,8,99.90266
0.0,3,0,0,2.0,160,1.0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16.0,15.0,0,8,99.939
2.0,10,0,0,0.0,0,0.0,5,12,10,6,0,0,0,0,0,0,0,0,2,0,3,4,1,0,15.0,19.0,0,8,99.74737
2.0,10,0,0,3.4452378336812,986,2.36281994946721,5,12,10,6,5,0,0,0,0,0,0,0,2,0,3,4,1,0,14.0,19.0,0,8,99.99415
2.0,14,0,0,3.4452378336812,889,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,8,99.9868
1.0,3,0,0,5.0,1091,5.0,13,12,4,3,4,0,0,0,0,0,0,0,19,0,3,0,1,0,13.0,20.0,0,13,99.99089
2.0,10,0,0,0.0,0,0.0,5,12,6,6,4,0,0,0,0,0,0,0,2,0,3,5,1,1,15.0,16.0,0,8,99.97664
1.0,3,0,0,5.0,1603,5.0,5,12,12,3,4,0,0,0,0,0,0,0,19,0,3,0,1,0,14.0,20.0,0,4,99.73291
1.0,7,0,0,5.0,614,5.0,13,12,4,6,4,0,0,0,0,0,0,0,19,1,3,5,1,0,15.0,19.0,1,13,99.997345
1.0,1,0,0,1.0,1808,1.0,1,12,8,6,4,0,0,0,0,0,0,0,10,2,4,5,1,1,14.0,14.0,1,8,99.33513
1.0,7,0,0,8.0,1268,4.0,5,12,12,6,4,0,0,0,0,0,0,0,19,2,4,0,0,0,16.0,18.0,1,4,98.946396
1.0,1,0,0,3.0,1010,3.0,5,12,17,6,4,0,0,0,0,0,0,0,19,2,4,3,1,1,15.0,16.0,1,4,99.64721
0.0,6,0,0,10.0,1815,3.33,8,12,12,6,4,0,0,0,0,0,0,0,19,0,3,2,1,0,15.0,17.0,1,7,99.99635
1.0,1,0,0,3.0,1528,1.5,5,12,12,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,14.0,16.0,1,8,99.051704
1.0,3,0,0,6.0,919,6.0,5,12,4,3,4,0,0,0,0,0,0,0,19,0,3,0,1,0,14.0,20.0,0,4,99.98963
1.0,11,0,0,12.0,493,12.0,3,12,10,6,4,0,0,0,0,0,0,0,19,2,4,5,0,1,16.0,16.0,1,2,88.12366
2.0,10,0,0,0.0,0,0.0,5,12,4,6,5,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,20.0,0,4,99.9718
2.0,14,0,0,3.4452378336812,1240,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,2,1,3,0,1,0,14.0,18.0,0,8,99.972496
2.0,10,0,0,0.0,0,0.0,5,12,0,6,5,0,0,0,0,0,0,0,19,2,3,4,1,0,14.0,19.0,0,4,99.96093
2.0,14,0,0,3.4452378336812,458,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,8,99.46833
2.0,14,0,0,3.4452378336812,1060,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,8,99.98726
0.0,7,0,0,8.0,877,2.67,3,12,0,6,4,0,0,0,0,0,0,0,19,2,3,4,1,1,14.0,16.0,0,2,99.93597
2.0,10,0,0,0.0,0,0.0,13,12,13,6,4,0,0,0,0,0,0,0,2,0,3,0,1,0,14.0,20.0,0,8,99.61177
1.0,7,0,0,12.0,1411,6.0,5,12,4,6,4,0,0,0,0,0,0,0,19,2,4,1,0,1,16.0,16.0,1,4,99.47064
0.0,7,0,0,6.0,385,6.0,1,12,15,6,4,0,0,0,0,0,0,0,19,1,3,5,1,1,15.0,16.0,0,8,99.41247
2.0,10,0,0,3.4452378336812,785,2.36281994946721,0,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,0,15.0,17.0,0,8,99.563446
0.0,7,0,0,5.0,1234,1.67,5,12,9,6,3,0,0,0,0,0,0,0,19,1,3,5,0,0,16.0,17.0,0,4,99.97666
0.0,11,0,0,3.0,1299,3.0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16.0,13.0,0,8,99.99194
2.0,10,0,0,0.0,0,0.0,5,12,4,6,4,0,0,0,0,0,0,0,19,0,3,2,1,0,14.0,19.0,0,4,99.86461
1.0,1,0,0,1.0,1106,1.0,1,12,4,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,15.0,16.0,1,8,96.420006
1.0,1,0,0,9.0,1953,1.8,5,12,17,3,4,0,0,0,0,0,0,0,19,2,4,5,1,0,15.0,17.0,0,8,99.98089
2.0,10,0,0,3.4452378336812,1070,2.36281994946721,5,12,10,6,4,0,0,0,0,0,0,0,19,0,3,1,1,0,14.0,18.0,0,8,99.89434
2.0,10,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,0,14.0,17.0,0,4,99.61259
1.0,1,0,0,2.0,1587,2.0,5,12,3,2,4,0,0,0,0,0,0,0,19,2,4,1,1,1,14.0,13.0,0,4,98.94928
1.0,1,0,0,2.0,1509,2.0,5,12,2,6,4,0,0,0,0,0,0,0,10,4,4,0,2,0,10.0,18.0,1,8,99.32273
0.0,7,0,0,3.0,1407,1.5,1,12,7,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,99.32285
2.0,10,0,0,0.0,0,0.0,5,12,4,6,5,0,0,0,0,0,0,0,2,0,1,4,1,0,15.0,18.0,0,8,99.79813
1.0,1,0,0,9.0,1164,4.5,5,12,5,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,16.0,15.0,1,4,99.85334
1.0,1,0,0,1.0,1362,1.0,13,12,14,3,4,0,0,0,0,0,0,0,19,2,4,2,1,1,14.0,14.0,0,8,99.091545
1.0,1,0,0,3.0,1183,3.0,5,12,4,6,4,0,0,0,0,0,0,0,10,2,4,5,1,0,13.0,17.0,1,4,99.093124
1.0,1,0,0,7.0,116,7.0,5,12,7,6,4,0,0,0,0,0,0,0,19,1,4,0,1,0,15.0,18.0,1,4,99.51118
0.0,7,0,0,3.0,195,3.0,1,12,12,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,99.55317
1.0,3,0,0,3.0,732,3.0,5,12,12,3,5,0,0,0,0,0,0,0,19,2,4,5,1,0,14.0,17.0,0,4,99.148895
